Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
MNQH26_FUT_CME	Short	2026-01-14  09:47:25.424 BP	2026-01-14  09:47:51.624 EP	25640.25	25654.25	1	1	1	-28.00	176.50	-28.00 F	18.50	-28.00	18.50	-28.00	100.0%	0.0%	-60.2%	0.00	25654.25	25631.00	Parent order	1	0	00:00:26	1598A
MNQH26_FUT_CME	Short	2026-01-14  09:48:21.980 BP	2026-01-14  09:48:52.559 EP	25637.25	25651.25	1	1	1	-28.00	148.50	-28.00 F	7.50	-28.00	7.50	-28.00	100.0%	0.0%	-78.9%	0.00	25651.25	25633.50	Parent order	1	0	00:00:30	1598A
MNQH26_FUT_CME	Long	2026-01-14  09:49:30.700 BP	2026-01-14  09:50:05.688 EP	25653.75	25647.50	1	1	1	-12.50	136.00	-12.50 F	32.50	-12.50	32.50	-12.50	100.0%	0.0%	-27.8%	0.00	25670.00	25647.50	Parent order	1	0	00:00:34	1598A
MNQH26_FUT_CME	Long	2026-01-14  10:00:36.497 BP	2026-01-14  10:00:51.024 EP	25554.25	25540.00	1	1	1	-28.50	107.50	-28.50 F	9.50	-28.50	9.50	-28.50	100.0%	0.0%	-75.0%	0.00	25559.00	25540.00	Parent order	1	0	00:00:14	1598A
MNQH26_FUT_CME	Long	2026-01-14  10:02:01.115 BP	2026-01-14  10:02:14.221 EP	25560.25	25546.00	1	1	1	-28.50	79.00	-28.50 F	12.50	-28.50	12.50	-28.50	100.0%	0.0%	-69.5%	0.00	25566.50	25546.00	Parent order	1	0	00:00:13	1598A
MNQH26_FUT_CME	Long	2026-01-14  10:02:37.667 BP	2026-01-14  10:07:46.460 EP	25554.00	25554.25	1	1	1	0.50	79.50	0.50 F	75.50	-25.00	75.50	-25.00	100.0%	25.4%	0.5%	0.00	25591.75	25541.50	Parent order	1	0	00:05:08	1598A
MNQH26_FUT_CME	Long	2026-01-15  10:39:03.462 BP	2026-01-15  10:42:53.550	25902.50	25889.50	1	2	1	-26.00	53.50	-26.00	19.00	-26.00	19.00	-26.00	100.0%	0.0%	-57.8%	0.00	25912.00	25889.50	Parent order	1	1	00:03:50	1598A
MNQH26_FUT_CME	Long	2026-01-15  10:39:03.462	2026-01-15  10:42:53.550 EP	25902.75	25889.50	1	2	2	-26.50	27.00	-52.50 F	37.50	-52.50	18.50	-26.50	0.0%	28.9%	-29.4%	0.00	25912.00	25889.50	Parent order	2	0	00:03:50	1598A
MNQH26_FUT_CME	Short	2026-01-15  10:47:21.865 BP	2026-01-15  10:47:43.027 EP	25831.25	25843.50	2	2	2	-49.00	-22.00	-49.00 F	6.00	-49.00	6.00	-49.00	100.0%	0.0%	-89.1%	0.00	25843.50	25829.75	Parent order	2	0	00:00:21	1598A
MNQH26_FUT_CME	Short	2026-01-15  10:50:17.111 BP	2026-01-15  10:56:45.664	25833.75	25844.25	1	2	1	-21.00	-43.00	-21.00	60.50	-21.00	60.50	-21.00	100.0%	0.0%	-25.8%	0.00	25844.25	25803.50	Parent order	1	1	00:06:28	1598A
MNQH26_FUT_CME	Short	2026-01-15  10:50:17.111	2026-01-15  10:56:45.664 EP	25833.50	25844.25	1	2	2	-21.50	-64.50	-42.50 F	120.50	-42.50	60.00	-21.50	0.0%	12.9%	-13.2%	0.00	25844.25	25803.50	Parent order	2	0	00:06:28	1598A
MNQH26_FUT_CME	Short	2026-01-16  09:42:29.958 BP	2026-01-16  09:43:47.212 EP	25838.25	25846.50	2	2	2	-33.00	-97.50	-33.00 F	22.00	-33.00	22.00	-33.00	100.0%	0.0%	-60.0%	0.00	25846.50	25832.75	Parent order	2	0	00:01:17	1598A
MNQH26_FUT_CME	Short	2026-01-16  09:44:18.695 BP	2026-01-16  09:45:06.809 EP	25829.75	25830.25	2	2	2	-2.00	-99.50	-2.00 F	49.00	-24.00	49.00	-24.00	100.0%	30.1%	-2.7%	0.00	25835.75	25817.50	Parent order	2	0	00:00:48	1598A
MNQH26_FUT_CME	Short	2026-01-16  09:45:59.674 BP	2026-01-16  09:46:17.573 EP	25833.50	25842.50	2	2	2	-36.00	-135.50	-36.00 F	4.00	-40.00	4.00	-40.00	100.0%	9.1%	-81.8%	0.00	25843.50	25832.50	Parent order	2	0	00:00:17	1598A
MNQH26_FUT_CME	Short	2026-01-16  09:46:27.096 BP	2026-01-16  09:48:46.375 EP	25833.50	25833.75	2	2	2	-1.00	-136.50	-1.00 F	55.00	-29.00	55.00	-29.00	100.0%	33.3%	-1.2%	0.00	25840.75	25819.75	Parent order	2	0	00:02:19	1598A
MNQH26_FUT_CME	Long	2026-01-16  10:00:18.836 BP	2026-01-16  10:00:35.536 EP	25734.50	25723.75	2	2	2	-43.00	-179.50	-43.00 F	8.00	-43.00	8.00	-43.00	100.0%	0.0%	-84.3%	0.00	25736.50	25723.75	Parent order	2	0	00:00:16	1598A
MNQH26_FUT_CME	Long	2026-01-16  10:00:59.266 BP	2026-01-16  10:01:28.521	25728.75	25714.75	1	2	1	-28.00	-207.50	-28.00	3.00	-28.00	3.00	-28.00	100.0%	0.0%	-90.3%	0.00	25730.25	25714.75	Parent order	1	1	00:00:29	1598A
MNQH26_FUT_CME	Long	2026-01-16  10:00:59.266	2026-01-16  10:01:28.521 EP	25729.00	25714.75	1	2	2	-28.50	-236.00	-56.50 F	5.50	-56.50	2.50	-28.50	0.0%	45.2%	-46.0%	0.00	25730.25	25714.75	Parent order	2	0	00:00:29	1598A
